src_addr,dst_addr,src_num_port,dst_num_port,src_num_packet,dst_num_packet,src_num_byte,dst_num_byte,src_size_min_packet,src_size_max_packet,src_size_mean_packet,src_size_stddev_packet,dst_size_min_packet,dst_size_max_packet,dst_size_mean_packet,dst_size_stddev_packet,src_time_min_packet,src_time_max_packet,src_time_mean_packet,src_time_stddev_packet,dst_time_min_packet,dst_time_max_packet,dst_time_mean_packet,dst_time_stddev_packet,read_times,read_num_location,read_length_location,write_times,write_num_location,write_length_location,ilrt,IP_addr,vendor,model,label,label_code
192.168.158.111,157.124.147.178,1,1,5,5,223,250,40,52,44.6,5.64,40,90,50.0,20.0,0.244,0.269,0.251,0.011,0.001,0.269,0.19,0.109,1,0,0,0,0,0,0.0,157.124.147.178,Schneider Electric,PLC:NF3000,Schneider,10
192.168.158.111,214.1.113.8,1,1,5,5,223,255,40,52,44.6,5.64,40,95,51.0,22.0,0.0,0.3,0.216,0.126,0.0,0.299,0.15,0.149,1,0,0,0,0,0,0.0,214.1.113.8,Schneider Electric,Communication Module:BMX NOE 0100,Schneider,10
192.168.158.111,95.246.34.173,1,1,4,5,183,256,40,52,45.75,5.76,40,92,51.2,20.46,0.0,0.264,0.172,0.122,0.001,0.25,0.126,0.124,1,0,0,0,0,0,0.002017,95.246.34.173,Schneider Electric,PLC:TM221ME16R,Schneider,10
192.168.158.111,157.124.147.179,1,1,5,5,223,250,40,52,44.6,5.64,40,90,50.0,20.0,0.246,0.273,0.253,0.011,0.0,0.273,0.191,0.111,1,0,0,0,0,0,0.0,157.124.147.179,Schneider Electric,PLC:NF3000,Schneider,10
192.168.158.111,95.246.120.36,1,1,4,5,183,256,40,52,45.75,5.76,40,92,51.2,20.46,0.0,0.267,0.176,0.125,0.0,0.26,0.132,0.128,1,0,0,0,0,0,0.007013,95.246.120.36,Schneider Electric,PLC:TM221CE40T,Schneider,10
192.168.158.111,80.155.56.148,1,1,5,6,223,265,40,52,44.6,5.64,40,49,44.17,4.18,0.0,0.245,0.124,0.101,0.013,0.225,0.098,0.094,1,0,0,0,0,0,0.02704,80.155.56.148,Rockwell Automation/Allen-Bradley,PLC:90,Rockwell,8
192.168.158.111,44.158.207.242,1,1,4,4,183,216,40,52,45.75,5.76,40,92,54.0,22.0,0.0,0.315,0.208,0.147,0.0,0.327,0.214,0.151,1,0,0,0,0,0,0.0,44.158.207.242,Schneider Electric,PLC:TM221CE40R,Schneider,10
192.168.158.111,157.124.147.180,1,1,5,5,223,250,40,52,44.6,5.64,40,90,50.0,20.0,0.246,0.302,0.26,0.024,0.001,0.302,0.199,0.117,1,0,0,0,0,0,0.0,157.124.147.180,Schneider Electric,PLC:NF3000,Schneider,10
192.168.158.111,1.41.147.176,1,1,7,8,315,428,40,52,45.0,5.78,40,144,53.5,34.23,0.0,4.717,1.219,1.606,0.144,4.242,0.926,1.359,1,0,0,0,0,0,0.279019,1.41.147.176,Ulusoy Elektrik,RTU:UE-RTU32,Eaton,4
192.168.158.111,137.247.33.76,1,1,4,5,183,256,40,52,45.75,5.76,40,92,51.2,20.46,0.0,0.243,0.161,0.114,0.001,0.239,0.12,0.119,1,0,0,0,0,0,0.001678,137.247.33.76,Schneider Electric,PLC:TM221ME16R,Schneider,10
