ip,port,round,start_time,end_time,response,country
83.166.220.170,502,3,2023/7/24 10:19:02,2023/7/24 10:19:03,successful,China
90.198.173.222,502,3,2023/7/24 10:19:00,2023/7/24 10:19:03,java.net.SocketTimeoutException: connect timed out,China
89.142.184.152,502,3,2023/7/24 10:19:00,2023/7/24 10:19:03,java.net.SocketTimeoutException: connect timed out,China
88.186.52.149,502,3,2023/7/24 10:19:02,2023/7/24 10:19:03,successful,China
1.24.66.55,502,3,2023/7/24 10:19:02,2023/7/24 10:19:03,"6 bytes expected, but 0 received.",China
44.158.243.41,502,3,2023/7/24 10:19:02,2023/7/24 10:19:03,ILLEGAL_FUNCTION: Exception Code = 1,China
201.201.252.226,502,3,2023/7/24 10:19:02,2023/7/24 10:19:03,ILLEGAL_FUNCTION: Exception Code = 1,China
88.8.134.89,502,3,2023/7/24 10:19:01,2023/7/24 10:19:03,ILLEGAL_FUNCTION: Exception Code = 1,China
176.16.75.253,502,3,2023/7/24 10:19:03,2023/7/24 10:19:03,ILLEGAL_FUNCTION: Exception Code = 1,China
12.44.110.44,502,3,2023/7/24 10:19:02,2023/7/24 10:19:03,ILLEGAL_FUNCTION: Exception Code = 1,China
68.43.22.152,502,3,2023/7/24 10:19:02,2023/7/24 10:19:03,GATEWAY_PATH_UNAVAILABLE: Exception Code = 10,China
143.175.47.100,502,3,2023/7/24 10:19:02,2023/7/24 10:19:03,ILLEGAL_FUNCTION: Exception Code = 1,China
176.16.79.56,502,3,2023/7/24 10:19:03,2023/7/24 10:19:03,ILLEGAL_FUNCTION: Exception Code = 1,China
1.41.90.93,502,3,2023/7/24 10:19:02,2023/7/24 10:19:03,ILLEGAL_FUNCTION: Exception Code = 1,China
214.80.218.24,502,3,2023/7/24 10:19:02,2023/7/24 10:19:03,ILLEGAL_FUNCTION: Exception Code = 1,China
93.167.139.9,502,3,2023/7/24 10:19:02,2023/7/24 10:19:03,GATEWAY_TARGET_DEVICE_FAILED_TO_RESPOND: Exception Code = 11,China
194.126.243.16,502,3,2023/7/24 10:19:03,2023/7/24 10:19:03,ILLEGAL_FUNCTION: Exception Code = 1,China
191.140.150.119,502,3,2023/7/24 10:19:00,2023/7/24 10:19:03,java.net.SocketTimeoutException: connect timed out,China
88.8.172.35,502,3,2023/7/24 10:18:59,2023/7/24 10:19:03,GATEWAY_TARGET_DEVICE_FAILED_TO_RESPOND: Exception Code = 11,China
193.136.71.34,502,3,2023/7/24 10:19:03,2023/7/24 10:19:03,successful,China
94.27.203.80,502,3,2023/7/24 10:19:02,2023/7/24 10:19:03,ILLEGAL_FUNCTION: Exception Code = 1,China
95.246.190.167,502,3,2023/7/24 10:19:03,2023/7/24 10:19:03,successful,China
74.14.243.171,502,3,2023/7/24 10:19:03,2023/7/24 10:19:03,ILLEGAL_FUNCTION: Exception Code = 1,China
82.3.220.229,502,3,2023/7/24 10:19:03,2023/7/24 10:19:03,successful,China
176.16.79.156,502,3,2023/7/24 10:19:03,2023/7/24 10:19:03,ILLEGAL_FUNCTION: Exception Code = 1,China
104.166.58.99,502,3,2023/7/24 10:19:03,2023/7/24 10:19:03,ILLEGAL_FUNCTION: Exception Code = 1,China
136.73.88.39,502,3,2023/7/24 10:19:00,2023/7/24 10:19:03,java.net.SocketTimeoutException: connect timed out,China
74.70.196.104,502,3,2023/7/24 10:19:00,2023/7/24 10:19:03,java.net.SocketTimeoutException: connect timed out,China
140.135.137.138,503,3,2023/7/24 10:19:00,2023/7/24 10:19:03,ILLEGAL_FUNCTION: Exception Code = 1,China
1.24.66.54,502,3,2023/7/24 10:19:03,2023/7/24 10:19:03,"6 bytes expected, but 0 received.",China
90.198.164.9,502,3,2023/7/24 10:19:03,2023/7/24 10:19:03,ILLEGAL_FUNCTION: Exception Code = 1,China
212.136.196.198,502,3,2023/7/24 10:19:02,2023/7/24 10:19:03,ILLEGAL_FUNCTION: Exception Code = 1,China
89.148.101.234,502,3,2023/7/24 10:19:01,2023/7/24 10:19:03,GATEWAY_PATH_UNAVAILABLE: Exception Code = 10,China
12.44.110.45,502,3,2023/7/24 10:19:03,2023/7/24 10:19:03,ILLEGAL_FUNCTION: Exception Code = 1,China
176.16.130.14,502,3,2023/7/24 10:19:03,2023/7/24 10:19:03,ILLEGAL_FUNCTION: Exception Code = 1,China
1.132.182.106,502,3,2023/7/24 10:19:00,2023/7/24 10:19:03,java.net.SocketTimeoutException: connect timed out,China
176.16.131.231,502,3,2023/7/24 10:19:03,2023/7/24 10:19:04,ILLEGAL_FUNCTION: Exception Code = 1,China
143.171.195.32,502,3,2023/7/24 10:19:03,2023/7/24 10:19:04,ILLEGAL_DATA_ADDRESS: Exception Code = 2,China
